"ID","SiteSeries","SiteSeriesLongName","SiteSeriesScientificName","Level"
-1933103230,"BG  xw 2 /Ro04","Big sagebrush – Selaginella – Bluebunch wheatgrass","Artemisia tridentata ssp. tridentata – Selaginella densa – Pseudoroegneria spicata",11
-1931360401,"ICH mw 5 /111.1","CwHw – Devil's club – Lady fern","Thuja plicata – Tsuga heterophylla – Oplopanax horridus – Athyrium filix-femina",11
-1929977517,"IDF xk   /Ff01","Water birch – Red-osier dogwood – Rose","Betula occidentalis – Cornus sericea – Rosa acicularis",11
-1927674485,"ICH mw 4 /Vh10","Fireweed – Grouseberry","Chamerion angustifolium – Vaccinium scoparium",11
-1927190448,"ICH dw 1 /Ro09.1","Saskatoon – Rock moss – Clad lichen","Amelanchier alnifolia – Racomitrium spp. – Cladonia spp.",11
-1925835646,"ICH mk 1 /01$YS","$CwSxw – Aspen","Thuja plicata – Picea engelmannii x glauca – Populus tremuloides",11
-1925824123,"IDF ww   /05","CwFd – Vine maple","Thuja plicata – Pseudotsuga menziesii – Acer circinatum",11
-1925598621,"ESSFwm 3 /110","Bl – Rhododendron – Foamflower – Arnica","Abies lasiocarpa – Rhododendron albiflorum – Tiarella trifoliata – Arnica spp.",11
-1925403308,"ESSFmm 1 /06","Bl – Devil's club – Lady fern","Abies lasiocarpa – Oplopanax horridus – Athyrium filix-femina",11
-1923207806,"IDF xm   /Gg01","Bluebunch wheatgrass – Prairie sagewort – Junegrass","Pseudoroegneria spicata – Artemisia frigida – Koeleria macrantha",11
-1919039356,"ICH mw 5 /111.2","CwHw – Lady fern – Oak fern","Thuja plicata – Tsuga heterophylla – Athyrium filix-femina – Gymnocarpium dryopteris",11
-1917783737,"MS  dk   /Wm01","Beaked sedge – Water sedge","Carex utriculata – Carex aquatilis",11
-1916550134,"ESSFwm 1 /Fl05","Drummond's willow – Bluejoint","Salix drummondiana – Calamagrostis canadensis",11
-1914327306,"CWH wh 1 /111c","CwSs – Foamflower; Limestone phase","Thuja plicata – Picea sitchensis – Tiarella trifoliata",11
-1912702544,"ESSFdk 1 /Vh11","Fireweed – Yarrow – Strawberry","Chamerion angustifolium – Achillea millefolium – Fragaria virginiana",11
-1911479742,"ESSFdc 2 /01","Bl – Rhododendron – Grouseberry","Abies lasiocarpa – Rhododendron albiflorum – Vaccinium scoparium",11
-1910900915,"ICH wk 1 /02","Rhacomitrium – Cladonia","Racomitrium spp. – Cladonia spp.",11
-1908130072,"IDF xh 4 /06","Act – Snowberry – Rose","Populus trichocarpa – Symphoricarpos albus – Rosa acicularis",11
-1906157967,"ICH mw 5 /Wm05","Cattail","Typha latifolia",11
-1905435780,"ESSFdk 2 /Wf11","Tufted clubrush – Star-moss","Trichophorum cespitosum – Campylium stellatum",11
-1904799849,"CWH xm 1 /Wm09","Inflated sedge","Carex exsiccata",11
-1904231944,"MS  dm 1 /07","Sxw – Trapper's tea – Horsetail","Picea engelmannii x glauca – Rhododendron neoglandulosum – Equisetum arvense",11
-1902685197,"BWBSdk   /Ws05","MacCalla's willow – Beaked sedge","Salix maccalliana – Carex utriculata",11
-1901186676,"BG  xw 2 /Wm07","Baltic rush","Juncus balticus",11
-1900845263,"MS  dw   /Vs12","Huckleberry – Rhododendron – Fireweed","Vaccinium membranaceum – Rhododendron albiflorum – Chamerion angustifolium",11
-1900438669,"ESSFwh 3 /Vs01","Sitka alder – Lady fern","Alnus viridis ssp. sinuata – Athyrium filix-femina",11
-1899276894,"IDF dm 2 /Fl06","Sandbar willow – Scouring-rush","Salix interior – Equisetum hyemale",11
-1898794106,"PP  xh 2 /Wm06","Great bulrush","Schoenoplectus acutus",11
-1896202019,"SBS mk 1 /03","Pl – Feathermoss – Cladina","Pinus contorta – Pleurozium schreberi – Cladina spp.",11
-1893390655,"CWH ds 1 /11","Pl – Sphagnum","Pinus contorta – Sphagnum spp.",11
