"YearOfChange","ChangeDescription","APCFamily","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName_Old","EnglishName","common_name_pb","Notes_on_names","ShortenedGuideName","Native","Codetype","Province","ID","TaxonLevel","IsAttribute","Report","SplCode_calc","Codelength","CombinedEnglishName"
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARSTA","ACARSTA","ACARSTA",,"Acarospora stapfiana",15,"(Müll. Arg.) Hue",,"ochre cobblestone lichen",,,,"N","U","BC",1136996,"spp",0,1,"ACARSTA",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARTER","ACARTER","ACARTER",,"Acarospora terricola",15,"H.Magn.",,"ochre cobblestone lichen",,,,"N","U","BC",1136997,"spp",0,1,"ACARTER",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARTHA","ACARTHA","ACARTHA",,"Acarospora thamnina",15,"(Tuck.) Herre",,"ochre cobblestone lichen",,,,"N","U","BC",1136998,"spp",0,1,"ACARTHA",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARUMB","ACARUMB","ACARUMB",,"Acarospora umbilicata",15,"Bagl.",,"ochre cobblestone lichen",,,,"N","U","BC",1136999,"spp",0,1,"ACARUMB",10,
"2019pb","Addition Bjork & Goward review",,"ACAROSO","ACARVEU","ACARVEU","ACARVEU",,"Acarospora verruciformis",15,"H.Magn.",,"ochre cobblestone lichen",,,,"N","U","BC",1137000,"spp",0,1,"ACARVER",10,
,,,"POTTIAC","ACAULON","ACAULON","ACAULON",,"Acaulon spp.",9,,,"pygmy mosses",,,,"N","U","BC",14210,"gen",0,1,"ACAULON",7,
"2022","New coding for upper taxa",,"BARTRAMI","BARTRAM_","BARTRAM_","BARTRAM_",,"Bartramiaceae",9,"Schwagrichen ","apple-moss family","apple-moss family","apple-moss family",,,"N","U","BC",20049,"fam",0,1,"BARTRAM_",13,
"2022","Replaced by new upper taxa codes",,"BARTRAMI","BARTRAMI","BARTRAM_","BARTRAM_",,"Bartramiaceae",9,"Schwagrichen ","apple-moss family","apple-moss family","apple-moss family",,,"N","S","BC",20049,"fam",0,1,"BARTRAM_",13,
"2022","Replaced by new upper taxa codes",,"BARTRAI","BARTRAM","BARTRAMA","BARTRAMA",,"Bartramia spp.",9,,"apple-moss","bartramias",,,,"N","S","BC",20047,"gen",0,1,"BARTRAMI",9,
"2022","New coding for upper taxa",,"BARTRAI","BARTRAMI","BARTRAMA","BARTRAMA",,"Bartramia spp.",9,,"apple-moss","bartramias",,,,"N","U","BC",20047,"gen",0,1,"BARTRAMI",9,
"2022","New coding for upper taxa",,"POLYTRC","BARTRAMI","BARTRAMP","BARTRAMP",,"Bartramiopsis spp.",9,,,,,,,"N","U","BC",20051,"gen",0,1,"BARTRAMI",13,
"2022","Replaced by new upper taxa codes",,"POLYTRC","BARTRAO","BARTRAMP","BARTRAMP",,"Bartramiopsis spp.",9,,,,,,,"N","S","BC",20051,"gen",0,1,"BARTRAMI",13,
,,"AMARANH","CHENOPD","BASSHYS","BASSHYS","BASSHYS",,"Bassia hyssopifolia",7,"(Pall.) O. Kuntze","five-hooked bassia","five-hooked bassia",,,,"E","U","BC",16817,"spp",0,1,"BASSHYS",6,
,,"AMARANH","CHENOPD","BASSIA","BASSIA","BASSIA",,"Bassia spp.",7,,,"bassias",,,,"E","U","BC",16818,"gen",0,1,"BASSIA",6,
"2017b","new","AMARANH","CHENOPD","BASSSCO","BASSSCO","BASSSCO",,"Bassia scoparia",7,"(L.) A.J. Scott","summer-cypress","summer-cypress bassia",,,,"E","U","BC",1136422,"spp",0,1,"BASSSCO",6,
"2017b","syn","AMARANH","CHENOPD","KOCHSCO","BASSSCO","BASSSCO",,"Kochia scoparia",7,"(L.) Schrad.",,,,,,,"S","BC",18281,"spp",0,0,"KOCHSCO",6,
,,,"LEPIDOI","BAZZAMB","BAZZAMB","BAZZAMB",,"Bazzania ambigua",10,"(Lindenb.) Trevis","bazzania","bazzania",,,,"N","U","BC",21299,"spp",0,1,"BAZZAMB",8,
"2022","Replaced by new upper taxa codes",,"LEPIDOI","BAZZANI","BAZZANIA","BAZZANIA",,"Bazzania spp.",10,"Gray",,,,,,"N","S","BC",21303,"gen",0,1,"BAZZANIA",8,
"2022","New coding for upper taxa",,"LEPIDOI","BAZZANIA","BAZZANIA","BAZZANIA",,"Bazzania spp.",10,"Gray",,,,,,"N","U","BC",21303,"gen",0,1,"BAZZANIA",8,
,,,"LEPIDOI","BAZZDEN","BAZZDEN","BAZZDEN",,"Bazzania denudata",10,"(Torr. ex Gottsche, Lindenb. & Nees) Trevis.",,,,,,"N","U","BC",21300,"spp",0,1,"BAZZDEN",8,
"2019pb","Addition, taxonomic update",,"LEPIDOI","BAZZFLA","BAZZFLA","BAZZFLA",,"Bazzania flaccida",10,"(Dumort.) Grolle",,,,,,"N","U","BC",1136772,"spp",0,1,"BAZZFLA",8,
,,,"LEPIDOI","BAZZNUD","BAZZNUD","BAZZNUD",,"Bazzania nudicaulis",10,"Evans",,,,,,"N","X",,21301,"spp",0,0,"BAZZNUD",8,
,,,"LEPIDOI","BAZZPEA","BAZZPEA","BAZZPEA",,"Bazzania pearsonii",10,"Steph.",,,,,,"N","U","BC",21302,"spp",0,1,"BAZZPEA",8,
,,,"LEPIDOI","BAZZTRI","BAZZTRI","BAZZTRI",,"Bazzania tricrenata",10,"(Wahlenb.) Lindb.","three-toothed whip liverwort","three-toothed whip liverwort",,"From NS.",,"N","U","BC",21304,"spp",0,1,"BAZZTRI",8,
"2019pb","Addition, tax. update",,"LEPIDOI","BAZZTRI1","BAZZTRI1","BAZZTRI",,"Bazzania tricrenata var. tricrenata",10,"(Wahlenb.) Lindb.","three-toothed whip liverwort","three-toothed whip liverwort",,"From NS.",,"N","U","BC",1136774,"var",0,1,"BAZZTRI",8,
"2019pb","Addition, tax. update",,"LEPIDOI","BAZZTRI2","BAZZTRI2","BAZZTRI",,"Bazzania tricrenata var. fulfordiae",10,"W. S. Hong","three-toothed whip liverwort","three-toothed whip liverwort",,"From NS.",,"N","U","BC",1136775,"var",0,1,"BAZZTRI",8,
"2019pb","kept the species level",,"LEPIDOI","BAZZTRL","BAZZTRL","BAZZTRL",,"Bazzania trilobata",10,"(L.) S. Gray",,,,,,"N","U","BC",21305,"spp",0,1,"BAZZTRI",8,
"2019pb","excluded",,"LEPIDOI","BAZZTRL1","BAZZTRL1","BAZZTRL",,"Bazzania trilobata var. depauperata",10,"(K. Müll.) Grolle",,,,,,"N","X",,21306,"var",0,0,"BAZZTRI",8,
"2019pb","accepted var, tax update",,"LEPIDOI","BAZZTRL2","BAZZTRL2","BAZZTRL",,"Bazzania trilobata var. trilobata",10,"(L.) Gray",,,,,,"N","U","BC",21307,"var",0,1,"BAZZTRI",8,
"2022","Replaced by new upper taxa codes","POACEAE","POACEAE","BECKMAN","BECKMANN","BECKMANN",,"Beckmannia spp.",6,,,"sloughgrasses",,,,"N","S","BC",15120,"gen",0,1,"BECKMANN",10,
"2022","New coding for upper taxa","POACEAE","POACEAE","BECKMANN","BECKMANN","BECKMANN",,"Beckmannia spp.",6,,,"sloughgrasses",,,,"N","U","BC",15120,"gen",0,1,"BECKMANN",10,
,,,"POACEAE","BECKERU","BECKSYZ","BECKSYZ",,"Beckmannia erucaeformis",6,"auct. non (L.) Host",,,,,,,"S","BC",15118,"spp",0,0,"BECKERU",10,
,,,"POACEAE","BECKERU1","BECKSYZ","BECKSYZ",,"Beckmannia erucaeformis var. uniflora",6,"Scribn.",,,,,,,"S","BC",15119,"var",0,0,"BECKERU",10,
